BOOK_ID,last_name,first_name,title,Date,url
2763,Stevenson,Robert,Strange Case Of Dr Jekyll And Mr Hyde,1886,"https://archive.org/details/texts?&and[]=Strange%20Case%20Of%20Dr%20Jekyll%20And%20Mr%20Hyde&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Stevenson"""
2764,Stevenson,Robert,The Master Of Ballantrae A Winters Tale,1889,"https://archive.org/details/texts?&and[]=The%20Master%20Of%20Ballantrae%20A%20Winters%20Tale&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Stevenson"""
2765,Stevenson,Robert,Treasure Island,1883,"https://archive.org/details/texts?&and[]=Treasure%20Island&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Stevenson"""
2766,Stevenson,Robert,Weir Of Hermiston An Unfinished Romance,1896,"https://archive.org/details/texts?&and[]=Weir%20Of%20Hermiston%20An%20Unfinished%20Romance&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Stevenson"""
2767,Steward,Isabella,The Interdict A Novel,1840,"https://archive.org/details/texts?&and[]=The%20Interdict%20A%20Novel&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Steward"""
2768,Stirling,Mary,Sedgely Court A Tale,1865,"https://archive.org/details/texts?&and[]=Sedgely%20Court%20A%20Tale&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Stirling"""
2769,Stirling,M C,The Ministers Son Or Home With Honours,1882,"https://archive.org/details/texts?&and[]=The%20Ministers%20Son%20Or%20Home%20With%20Honours&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Stirling"""
2770,Stocker,C H D,Between The Acts A Novel,1885,"https://archive.org/details/texts?&and[]=Between%20The%20Acts%20A%20Novel&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Stocker"""
2771,Stoddard,Elizabeth,Temple House A Novel,1867,"https://archive.org/details/texts?&and[]=Temple%20House%20A%20Novel&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Stoddard"""
2772,Stoddard,Elizabeth,The Morgesons,1862,"https://archive.org/details/texts?&and[]=The%20Morgesons&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Stoddard"""
2773,Stoddard,Elizabeth,Two Men A Novel,1865,"https://archive.org/details/texts?&and[]=Two%20Men%20A%20Novel&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Stoddard"""
2774,Stoker,Abraham,Dracula,1897,"https://archive.org/details/texts?&and[]=Dracula&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Stoker"""
2775,Acland,Emily,Hugh Moore A Novel,1885,"https://archive.org/details/texts?&and[]=Hugh%20Moore%20A%20Novel&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Acland"""
2776,Stone,Elizabeth,William Langshawe The Cotton Lord,1842,"https://archive.org/details/texts?&and[]=William%20Langshawe%20The%20Cotton%20Lord&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Stone"""
2777,Stowe,Harriet,Agnes Of Sorrento,1862,"https://archive.org/details/texts?&and[]=Agnes%20Of%20Sorrento&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Stowe"""
2778,Stowe,Harriet,House And Home Papers,1867,"https://archive.org/details/texts?&and[]=House%20And%20Home%20Papers&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Stowe"""
2779,Stowe,Harriet,My Wife And I Or Harry Hendersons History,1871,"https://archive.org/details/texts?&and[]=My%20Wife%20And%20I%20Or%20Harry%20Hendersons%20History&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Stowe"""
2780,Stowe,Harriet,Oldtown Folks,1869,"https://archive.org/details/texts?&and[]=Oldtown%20Folks&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Stowe"""
